Experiment	Type	URL
SRX19523785	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/029/SRR23641229/SRR23641229_2.fastq.gz
SRX19523778	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/036/SRR23641236/SRR23641236_1.fastq.gz
SRX19523778	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/036/SRR23641236/SRR23641236_2.fastq.gz
SRX19523784	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/030/SRR23641230/SRR23641230_1.fastq.gz
SRX19523784	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/030/SRR23641230/SRR23641230_2.fastq.gz
SRX19523777	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/037/SRR23641237/SRR23641237_1.fastq.gz
SRX19523777	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/037/SRR23641237/SRR23641237_2.fastq.gz
SRX19523779	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/035/SRR23641235/SRR23641235_1.fastq.gz
SRX19523779	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/035/SRR23641235/SRR23641235_2.fastq.gz
SRX19523783	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/031/SRR23641231/SRR23641231_1.fastq.gz
SRX19523783	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/031/SRR23641231/SRR23641231_2.fastq.gz
SRX19523780	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/034/SRR23641234/SRR23641234_1.fastq.gz
SRX19523780	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/034/SRR23641234/SRR23641234_2.fastq.gz
SRX19523776	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/038/SRR23641238/SRR23641238_1.fastq.gz
SRX19523776	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/038/SRR23641238/SRR23641238_2.fastq.gz
SRX19523775	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/039/SRR23641239/SRR23641239_1.fastq.gz
SRX19523775	paired	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/039/SRR23641239/SRR23641239_2.fastq.gz
